"t(s)","ang_vel(rad/s)"
4.300000000E1,6.151902095E-2
4.310000000E1,3.994741620E-2
4.320000000E1,7.563377467E-2
4.330000000E1,8.016114851E-2
4.340000000E1,9.733853747E-2
4.350000000E1,8.841694786E-2
4.360000000E1,6.191849511E-2
4.370000000E1,7.044061057E-2
4.380000000E1,4.474110614E-2
4.390000000E1,6.205165316E-2
4.400000000E1,4.234426117E-2
4.410000000E1,6.817692365E-2
4.420000000E1,7.590009078E-2
4.430000000E1,7.416903608E-2
4.440000000E1,1.000016986E-1
4.450000000E1,1.045290724E-1
4.460000000E1,7.709851327E-2
4.470000000E1,8.428904818E-2
4.480000000E1,4.314320950E-2
4.490000000E1,5.179848301E-2
4.500000000E1,3.755057123E-2
4.510000000E1,5.086637663E-2
4.520000000E1,5.685848906E-2
4.530000000E1,6.364954981E-2
4.540000000E1,8.735168342E-2
4.550000000E1,7.789746159E-2
4.560000000E1,7.816377770E-2
4.570000000E1,6.578007868E-2
4.580000000E1,4.873584776E-2
4.590000000E1,6.777744949E-2
4.600000000E1,5.166532495E-2
4.610000000E1,7.097324278E-2
4.620000000E1,4.793689944E-2
4.630000000E1,7.203850721E-2
4.640000000E1,7.363640386E-2
4.650000000E1,7.470166829E-2
4.660000000E1,7.270429748E-2
4.670000000E1,4.740426722E-2
4.680000000E1,6.977482030E-2
4.690000000E1,6.325007565E-2
4.700000000E1,5.672533100E-2
4.710000000E1,5.033374441E-2
4.720000000E1,5.592638268E-2
4.730000000E1,7.150587500E-2
4.740000000E1,6.511428841E-2
4.750000000E1,7.097324278E-2
4.760000000E1,6.791060754E-2
4.770000000E1,7.163903305E-2
4.780000000E1,7.962851629E-2
4.790000000E1,5.858954376E-2
4.800000000E1,6.697850116E-2
4.810000000E1,6.711165922E-2
4.820000000E1,6.431534008E-2
4.830000000E1,8.548747067E-2
4.840000000E1,5.126585079E-2
4.850000000E1,8.149272905E-2
4.860000000E1,8.242483543E-2
4.870000000E1,7.230482332E-2
4.880000000E1,7.922904213E-2
4.890000000E1,4.101268063E-2
4.900000000E1,8.588694483E-2
4.910000000E1,5.299690549E-2
4.920000000E1,6.684534311E-2
4.930000000E1,6.125270484E-2
4.940000000E1,6.298375954E-2
4.950000000E1,7.177219111E-2
4.960000000E1,6.032059846E-2
4.970000000E1,6.325007565E-2
4.980000000E1,7.310377165E-2
4.990000000E1,6.418218203E-2
5.000000000E1,6.218481122E-2
5.010000000E1,4.980111220E-2
5.020000000E1,7.962851629E-2
5.030000000E1,6.471481424E-2
5.040000000E1,6.604639478E-2
5.050000000E1,7.044061057E-2
5.060000000E1,7.656588105E-2
5.070000000E1,5.659217295E-2
5.080000000E1,6.937534613E-2
5.090000000E1,8.069378072E-2
5.100000000E1,5.858954376E-2
5.110000000E1,6.404902397E-2
