"t(s)","ang_vel(rad/s)"
2.910000000E1,-6.637928992E-1
2.920000000E1,-6.876281909E-1
2.930000000E1,-6.352970756E-1
2.940000000E1,-6.142581031E-1
2.950000000E1,-5.691175228E-1
2.960000000E1,-5.343632707E-1
2.970000000E1,-5.295695808E-1
2.980000000E1,-4.645884504E-1
2.990000000E1,-4.146541802E-1
3.000000000E1,-4.122573352E-1
3.010000000E1,-3.728425512E-1
3.020000000E1,-3.555320042E-1
3.030000000E1,-3.692472837E-1
3.040000000E1,-3.705788643E-1
3.050000000E1,-3.872236210E-1
3.060000000E1,-4.245078762E-1
3.070000000E1,-4.580637058E-1
3.080000000E1,-4.960137512E-1
3.090000000E1,-5.436843345E-1
3.100000000E1,-5.745770030E-1
3.110000000E1,-6.166549481E-1
3.120000000E1,-6.380933948E-1
3.130000000E1,-6.597981576E-1
3.140000000E1,-6.415555042E-1
3.150000000E1,-6.603307898E-1
3.160000000E1,-6.595318415E-1
3.170000000E1,-6.439523491E-1
3.180000000E1,-6.026733524E-1
3.190000000E1,-5.143895626E-1
3.200000000E1,-4.912200612E-1
3.210000000E1,-4.724447756E-1
3.220000000E1,-4.230431376E-1
3.230000000E1,-3.998736362E-1
3.240000000E1,-3.905525724E-1
3.250000000E1,-3.808320344E-1
3.260000000E1,-4.051999583E-1
3.270000000E1,-3.953462623E-1
3.280000000E1,-4.028031134E-1
3.290000000E1,-4.535363319E-1
3.300000000E1,-4.676510856E-1
3.310000000E1,-5.089300824E-1
3.320000000E1,-5.221127297E-1
3.330000000E1,-5.503422372E-1
3.340000000E1,-5.930859725E-1
3.350000000E1,-6.190517930E-1
3.360000000E1,-6.412891881E-1
3.370000000E1,-6.087986229E-1
3.380000000E1,-6.531402549E-1
3.390000000E1,-5.993444011E-1
3.400000000E1,-6.014749299E-1
3.410000000E1,-5.542038207E-1
3.420000000E1,-5.186506203E-1
3.430000000E1,-4.877579518E-1
3.440000000E1,-4.480768517E-1
3.450000000E1,-4.479436937E-1
3.460000000E1,-4.066646969E-1
3.470000000E1,-4.075968033E-1
3.480000000E1,-4.036020617E-1
3.490000000E1,-4.105262805E-1
3.500000000E1,-4.427505296E-1
3.510000000E1,-4.251736664E-1
3.520000000E1,-4.462126390E-1
3.530000000E1,-4.554005447E-1
3.540000000E1,-4.889563743E-1
3.550000000E1,-5.391569606E-1
3.560000000E1,-5.960154497E-1
3.570000000E1,-5.968143980E-1
3.580000000E1,-5.675196261E-1
3.590000000E1,-5.837649087E-1
3.600000000E1,-6.145244192E-1
3.610000000E1,-6.231796927E-1
3.620000000E1,-6.117281001E-1
3.630000000E1,-5.556685593E-1
3.640000000E1,-5.579322463E-1
3.650000000E1,-5.238437844E-1
3.660000000E1,-4.888232162E-1
3.670000000E1,-4.800347847E-1
3.680000000E1,-4.938832223E-1
3.690000000E1,-4.170510251E-1
